Date,Domain,Email,ID,Subject,Type
12/01/2018,amazon.com,Adam.Patel@amazon.com,288802,Balance Sheets,FROM
12/01/2018,amazon.com,James.O'Connor@amazon.com,288802,Balance Sheets,TO
12/01/2018,amazon.com,Lilo.Patel@amazon.com,288802,Balance Sheets,TO
12/29/2018,cuny.edu,Adam.O'Connor@cuny.edu,229376,John's Wedding Invite,FROM
12/29/2018,macquarie.com,Stitch.Patel@macquarie.com,229376,John's Wedding Invite,TO
12/04/2018,lordtaylor.com,Billy.Bob.Patel@lordtaylor.com,298031,Junk,FROM
12/04/2018,gmail.com,Lilo.Patel@gmail.com,298031,Junk,TO
12/04/2018,stoneridge.com,Stitch.O'Connor@stoneridge.com,298031,Junk,TO
12/26/2018,cuny.edu,Adam.O'Connor@cuny.edu,264622,Balance Sheets,FROM
12/26/2018,macquarie.com,Billy.Bob.Patel@macquarie.com,264622,Balance Sheets,TO
12/26/2018,gmail.com,Billy.Bob.O'Connor@gmail.com,264622,Balance Sheets,TO
10/04/2018,macys.com,Lilo.Patel@macys.com,247691,Junk,FROM
10/04/2018,stoneridge.com,Billy.Bob.O'Connor@stoneridge.com,247691,Junk,TO
10/04/2018,aol.com,Stitch.Patel@aol.com,247691,Junk,TO
12/17/2018,stoneridge.com,Anna.O'Connor@stoneridge.com,261871,Balance Sheets,FROM
12/17/2018,cuny.edu,John.Smith@cuny.edu,261871,Balance Sheets,TO
11/28/2018,lordtaylor.com,Stitch.de.La.Cruz@lordtaylor.com,222103,Balance Sheets,FROM
11/28/2018,amazon.com,Adam.Patel@amazon.com,222103,Balance Sheets,TO
10/05/2018,amazon.com,James.O'Connor@amazon.com,206423,Invoices for This Month,FROM
10/05/2018,suny.edu,Lilo.O'Connor@suny.edu,206423,Invoices for This Month,TO
10/05/2018,amazon.com,James.de.La.Cruz@amazon.com,206423,Invoices for This Month,TO
11/05/2018,macquarie.com,Billy.Bob.Patel@macquarie.com,267018,Vacation Cruises,FROM
11/05/2018,hotmail.com,Billy.Bob.Smith@hotmail.com,267018,Vacation Cruises,TO
12/25/2018,amazon.com,Lilo.Patel@amazon.com,214656,Balance Sheets,FROM
12/25/2018,gmail.com,Lilo.Patel@gmail.com,214656,Balance Sheets,TO
11/02/2018,amazon.com,James.O'Connor@amazon.com,298540,Balance Sheets,FROM
11/02/2018,ibm.com,John.de.La.Cruz@ibm.com,298540,Balance Sheets,TO
11/02/2018,cuny.edu,Billy.Bob.O'Connor@cuny.edu,298540,Balance Sheets,TO
11/02/2018,cuny.edu,John.Smith@cuny.edu,298540,Balance Sheets,TO
10/16/2018,stoneridge.com,Adam.O'Connor@stoneridge.com,293697,Invoices for This Month,FROM
10/16/2018,amazon.com,John.de.La.Cruz@amazon.com,293697,Invoices for This Month,TO
10/16/2018,apple.com,Billy.Bob.Patel@apple.com,293697,Invoices for This Month,TO
10/20/2018,suny.edu,Lilo.O'Connor@suny.edu,270034,John's Wedding Invite,FROM
10/20/2018,macquarie.com,Stitch.Smith@macquarie.com,270034,John's Wedding Invite,TO
10/20/2018,apple.com,James.Patel@apple.com,270034,John's Wedding Invite,TO
10/20/2018,lordtaylor.com,John.Smith@lordtaylor.com,270034,John's Wedding Invite,TO
